Feature,importance
issueDate_day,8616.8
dti,7898.4
revolUtil,6606.6
rest_Revol,6558.2
annualIncome_employmentLength_rate,5806.0
postCode_enc,5741.2
openAcc_TotalAcc_rate,5687.6
revolBal,5340.6
interestRate_term_rate,5212.0
money_total,4816.0
loanAmnt_annualIncome,4812.8
issueData_all_month,4506.8
installment_annualIncome_rate,4389.2
interestRate,4265.8
earliesCreditLine_issueDate_diff,4192.4
postCode_isDefault_kfold_mean,4167.8
n6,4158.6
fico_mean,4112.2
employmentTitle_enc,4037.0
revolBal_total,4010.0
rest_money,3971.8
earliesCreditLine_year,3714.2
regionCode_pred_0,3583.2
regionCode_enc,3576.4
postCode_pred_0,3562.0
annualIncome,3547.6
regionCode_isDefault_kfold_mean,3534.2
totalAcc,3502.0
n8,3314.2
employmentTitle_isDefault_kfold_mean,3295.2
employmentTitle_target_skew,3251.2
ave_loanAmnt_term_rate,3168.0
all_installment,3021.8
n5,2989.2
installment,2983.2
employmentTitle_pred_0,2855.2
Acc_diff,2822.4
n14,2548.2
n2,2533.2
issueDate_month,2524.0
employmentTitle_target_mean,2511.8
employmentTitle_target_std,2462.6
regionCode_target_mean,2430.8
homeOwnership_isDefault_kfold_mean,2401.2
loanAmnt,2333.0
title_isDefault_kfold_mean,2281.8
earliesCreditLine_month,2242.4
subGrade,2237.8
n7,2201.4
title_pred_0,2185.4
homeOwnership_pred_0,2129.8
n4,2020.2
title_enc,1963.2
purpose,1931.2
postCode_target_skew,1895.8
postCode_target_std,1888.6
openAcc,1802.8
homeOwnership_target_mean,1720.0
n9,1715.0
postCode_target_mean,1700.0
employmentLength_enc,1655.8
subGrade_enc,1649.6
title_target_skew,1630.8
n1,1609.8
n10,1522.2
issueDate_week_day,1508.0
title_target_mean,1421.8
n0,1418.2
employmentTitle_pred_1,1401.0
title_target_std,1248.4
delinquency_2years,1239.2
verificationStatus,1190.6
employmentLength,1002.0
pubRec,882.2
term,873.4
postCode_pred_1,814.2
pubRecBankruptcies_pubRec__rate,702.8
regionCode_target_skew,632.4
applicationType,621.8
grade,545.0
homeOwnership_enc,464.8
n13,462.0
pubRec_diff,417.2
title_pred_1,402.6
ficoRangeLow,394.0
initialListStatus,345.6
regionCode_target_std,270.8
issueDate_year,239.4
homeOwnership_target_skew,225.2
pubRecBankruptcies,216.2
homeOwnership_target_std,185.2
grade_enc,175.8
regionCode_pred_1,169.6
homeOwnership_pred_1,143.4
n12,113.8
n11,41.8
fico_diff,4.0
