,Feature,importance,fold
0,subGrade,2252,1
1,employmentTitle_pred_1,1493,1
2,interestRate,4182,1
3,employmentTitle_pred_0,2655,1
4,homeOwnership_target_std,192,1
5,term,878,1
6,issueDate_day,8471,1
7,homeOwnership_pred_0,2041,1
8,interestRate_term_rate,5054,1
9,grade,553,1
10,employmentTitle_isDefault_kfold_mean,3175,1
11,installment_annualIncome_rate,4327,1
12,employmentTitle_target_mean,2396,1
13,loanAmnt_annualIncome,4393,1
14,homeOwnership_isDefault_kfold_mean,2209,1
15,ficoRangeLow,357,1
16,money_total,4596,1
17,n2,2400,1
18,issueData_all_month,4266,1
19,postCode_target_std,1703,1
20,homeOwnership_target_mean,1563,1
21,fico_mean,3955,1
22,dti,7707,1
23,issueDate_year,226,1
24,regionCode_isDefault_kfold_mean,3392,1
25,homeOwnership_enc,500,1
26,subGrade_enc,1496,1
27,rest_money,3862,1
28,annualIncome,3516,1
29,earliesCreditLine_issueDate_diff,3956,1
30,postCode_target_skew,1903,1
31,postCode_isDefault_kfold_mean,4069,1
32,homeOwnership_pred_1,132,1
33,regionCode_pred_0,3567,1
34,employmentTitle_enc,3941,1
35,employmentLength,949,1
36,homeOwnership_target_skew,279,1
37,n14,2507,1
38,employmentTitle_target_std,2339,1
39,postCode_pred_0,3309,1
40,n8,3090,1
41,revolBal,5063,1
42,postCode_pred_1,864,1
43,postCode_target_mean,1558,1
44,regionCode_enc,3418,1
45,earliesCreditLine_year,3590,1
46,annualIncome_employmentLength_rate,5634,1
47,n9,1697,1
48,grade_enc,156,1
49,title_target_mean,1344,1
50,n4,1893,1
51,regionCode_target_mean,2306,1
52,n1,1500,1
53,rest_Revol,6265,1
54,ave_loanAmnt_term_rate,3003,1
55,n5,2839,1
56,totalAcc,3466,1
57,openAcc_TotalAcc_rate,5259,1
58,issueDate_month,2403,1
59,n7,2121,1
60,all_installment,3002,1
61,revolBal_total,3840,1
62,regionCode_target_skew,689,1
63,applicationType,634,1
64,title_target_std,1247,1
65,employmentTitle_target_skew,2957,1
66,title_isDefault_kfold_mean,2203,1
67,Acc_diff,2731,1
68,title_pred_0,2106,1
69,installment,2903,1
70,revolUtil,6239,1
71,delinquency_2years,1113,1
72,n6,4098,1
73,purpose,1878,1
74,regionCode_target_std,216,1
75,openAcc,1671,1
76,verificationStatus,1121,1
77,postCode_enc,5677,1
78,pubRec,900,1
79,n10,1475,1
80,title_pred_1,366,1
81,title_target_skew,1600,1
82,loanAmnt,2196,1
83,pubRec_diff,382,1
84,pubRecBankruptcies,197,1
85,employmentLength_enc,1501,1
86,title_enc,1981,1
87,regionCode_pred_1,149,1
88,n13,499,1
89,n0,1365,1
90,earliesCreditLine_month,2146,1
91,issueDate_week_day,1437,1
92,pubRecBankruptcies_pubRec__rate,760,1
93,initialListStatus,289,1
94,n12,102,1
95,n11,23,1
0,subGrade,2252,2
1,employmentTitle_pred_0,2717,2
2,interestRate,4268,2
3,ficoRangeLow,389,2
4,homeOwnership_target_mean,1726,2
5,term,868,2
6,grade,522,2
7,issueDate_day,8547,2
8,interestRate_term_rate,5093,2
9,employmentTitle_target_mean,2455,2
10,installment_annualIncome_rate,4121,2
11,homeOwnership_isDefault_kfold_mean,2543,2
12,loanAmnt_annualIncome,4979,2
13,regionCode_pred_0,3476,2
14,homeOwnership_pred_0,2034,2
15,subGrade_enc,1706,2
16,homeOwnership_pred_1,160,2
17,dti,7889,2
18,regionCode_isDefault_kfold_mean,3494,2
19,fico_mean,3964,2
20,n2,2601,2
21,employmentTitle_isDefault_kfold_mean,3222,2
22,employmentTitle_pred_1,1397,2
23,issueData_all_month,4591,2
24,homeOwnership_enc,469,2
25,money_total,4731,2
26,n14,2534,2
27,rest_money,3968,2
28,homeOwnership_target_skew,195,2
29,earliesCreditLine_issueDate_diff,4197,2
30,ave_loanAmnt_term_rate,3216,2
31,postCode_pred_1,796,2
32,employmentTitle_enc,3994,2
33,title_target_mean,1352,2
34,postCode_target_std,1927,2
35,annualIncome,3352,2
36,issueDate_year,310,2
37,postCode_pred_0,3525,2
38,n5,3092,2
39,postCode_target_skew,1791,2
40,postCode_isDefault_kfold_mean,4073,2
41,n9,1717,2
42,title_target_skew,1522,2
43,employmentLength,1010,2
44,applicationType,705,2
45,annualIncome_employmentLength_rate,5753,2
46,n1,1605,2
47,postCode_target_mean,1804,2
48,regionCode_target_mean,2465,2
49,n8,3191,2
50,title_pred_0,2084,2
51,n7,2107,2
52,homeOwnership_target_std,48,2
53,regionCode_target_std,273,2
54,issueDate_month,2393,2
55,rest_Revol,6539,2
56,regionCode_target_skew,577,2
57,employmentTitle_target_std,2277,2
58,revolBal_total,4018,2
59,revolBal,5132,2
60,openAcc_TotalAcc_rate,5750,2
61,grade_enc,195,2
62,all_installment,3041,2
63,totalAcc,3507,2
64,installment,2910,2
65,title_isDefault_kfold_mean,2251,2
66,earliesCreditLine_year,3645,2
67,n4,1962,2
68,revolUtil,6548,2
69,postCode_enc,5694,2
70,openAcc,1799,2
71,Acc_diff,2766,2
72,regionCode_pred_1,146,2
73,n10,1514,2
74,n6,4109,2
75,delinquency_2years,1177,2
76,loanAmnt,2254,2
77,employmentTitle_target_skew,2996,2
78,title_pred_1,390,2
79,title_target_std,1277,2
80,verificationStatus,1248,2
81,purpose,1939,2
82,title_enc,2021,2
83,employmentLength_enc,1601,2
84,pubRecBankruptcies_pubRec__rate,669,2
85,regionCode_enc,3528,2
86,pubRec,872,2
87,n13,441,2
88,n0,1371,2
89,earliesCreditLine_month,2173,2
90,initialListStatus,320,2
91,pubRec_diff,445,2
92,issueDate_week_day,1502,2
93,pubRecBankruptcies,183,2
94,n11,30,2
95,n12,118,2
96,fico_diff,4,2
0,subGrade,2399,3
1,employmentTitle_pred_0,3361,3
2,interestRate,4873,3
3,homeOwnership_target_std,277,3
4,term,913,3
5,grade,627,3
6,issueDate_day,9310,3
7,interestRate_term_rate,6055,3
8,fico_mean,4723,3
9,dti,8843,3
10,homeOwnership_pred_0,2445,3
11,employmentTitle_target_mean,2825,3
12,loanAmnt_annualIncome,5532,3
13,homeOwnership_target_mean,2056,3
14,annualIncome,4079,3
15,ficoRangeLow,449,3
16,homeOwnership_isDefault_kfold_mean,2654,3
17,installment_annualIncome_rate,5144,3
18,n2,2889,3
19,grade_enc,215,3
20,employmentTitle_pred_1,1520,3
21,postCode_isDefault_kfold_mean,4831,3
22,homeOwnership_enc,479,3
23,regionCode_isDefault_kfold_mean,4168,3
24,subGrade_enc,1951,3
25,homeOwnership_pred_1,156,3
26,employmentTitle_isDefault_kfold_mean,3845,3
27,postCode_pred_0,4105,3
28,money_total,5585,3
29,regionCode_pred_0,4168,3
30,ave_loanAmnt_term_rate,3668,3
31,n14,2852,3
32,homeOwnership_target_skew,281,3
33,rest_money,4499,3
34,regionCode_target_mean,2711,3
35,employmentTitle_enc,4795,3
36,title_target_skew,1957,3
37,title_isDefault_kfold_mean,2574,3
38,postCode_pred_1,942,3
39,n9,1748,3
40,annualIncome_employmentLength_rate,7010,3
41,issueDate_year,255,3
42,issueData_all_month,5202,3
43,all_installment,3525,3
44,postCode_target_mean,1955,3
45,postCode_target_std,2278,3
46,postCode_target_skew,2152,3
47,installment,3382,3
48,n1,1901,3
49,n7,2630,3
50,rest_Revol,7388,3
51,openAcc_TotalAcc_rate,6599,3
52,n4,2441,3
53,revolBal,6254,3
54,totalAcc,4087,3
55,n10,1778,3
56,earliesCreditLine_issueDate_diff,4800,3
57,title_target_mean,1722,3
58,title_enc,2176,3
59,earliesCreditLine_year,4460,3
60,employmentTitle_target_skew,4044,3
61,regionCode_enc,4256,3
62,issueDate_month,2918,3
63,purpose,2149,3
64,title_pred_0,2631,3
65,n5,3449,3
66,n8,3932,3
67,regionCode_target_skew,818,3
68,revolUtil,7743,3
69,delinquency_2years,1535,3
70,employmentTitle_target_std,3042,3
71,revolBal_total,4788,3
72,applicationType,607,3
73,openAcc,2078,3
74,employmentLength,1147,3
75,title_pred_1,462,3
76,n6,4679,3
77,postCode_enc,6658,3
78,Acc_diff,3401,3
79,employmentLength_enc,2029,3
80,loanAmnt,2797,3
81,title_target_std,1435,3
82,verificationStatus,1259,3
83,pubRec,1001,3
84,n13,573,3
85,regionCode_target_std,338,3
86,earliesCreditLine_month,2664,3
87,pubRecBankruptcies_pubRec__rate,779,3
88,issueDate_week_day,1855,3
89,initialListStatus,413,3
90,pubRec_diff,532,3
91,pubRecBankruptcies,311,3
92,regionCode_pred_1,228,3
93,n0,1602,3
94,n12,173,3
95,n11,66,3
0,subGrade,2014,4
1,employmentTitle_pred_0,2574,4
2,interestRate,3734,4
3,homeOwnership_target_std,178,4
4,term,875,4
5,issueDate_day,8094,4
6,homeOwnership_pred_0,1923,4
7,interestRate_term_rate,4712,4
8,homeOwnership_isDefault_kfold_mean,2284,4
9,grade,447,4
10,installment_annualIncome_rate,4009,4
11,employmentTitle_target_mean,2239,4
12,loanAmnt_annualIncome,4231,4
13,ficoRangeLow,366,4
14,n2,2312,4
15,grade_enc,150,4
16,issueDate_year,205,4
17,employmentTitle_isDefault_kfold_mean,2903,4
18,homeOwnership_target_mean,1413,4
19,fico_mean,3793,4
20,homeOwnership_pred_1,137,4
21,dti,7063,4
22,employmentTitle_pred_1,1161,4
23,n9,1627,4
24,regionCode_pred_0,3155,4
25,postCode_pred_0,3280,4
26,issueData_all_month,4038,4
27,subGrade_enc,1374,4
28,homeOwnership_target_skew,178,4
29,postCode_target_std,1603,4
30,all_installment,2596,4
31,ave_loanAmnt_term_rate,2912,4
32,regionCode_isDefault_kfold_mean,2970,4
33,rest_money,3611,4
34,homeOwnership_enc,379,4
35,n14,2326,4
36,postCode_target_skew,1680,4
37,rest_Revol,5868,4
38,postCode_isDefault_kfold_mean,3691,4
39,annualIncome,3094,4
40,revolBal_total,3397,4
41,money_total,4396,4
42,n1,1353,4
43,installment,2554,4
44,n7,1886,4
45,postCode_target_mean,1523,4
46,title_isDefault_kfold_mean,2153,4
47,openAcc_TotalAcc_rate,5010,4
48,title_pred_0,2010,4
49,employmentTitle_enc,3505,4
50,earliesCreditLine_issueDate_diff,3734,4
51,postCode_pred_1,696,4
52,totalAcc,3016,4
53,issueDate_month,2379,4
54,regionCode_enc,3049,4
55,title_target_std,1013,4
56,n4,1759,4
57,annualIncome_employmentLength_rate,4908,4
58,loanAmnt,1979,4
59,regionCode_target_mean,2185,4
60,applicationType,550,4
61,title_pred_1,372,4
62,employmentLength,907,4
63,revolBal,4931,4
64,earliesCreditLine_year,3296,4
65,employmentTitle_target_skew,2829,4
66,regionCode_target_skew,524,4
67,title_target_skew,1342,4
68,delinquency_2years,1195,4
69,revolUtil,5788,4
70,Acc_diff,2506,4
71,n5,2548,4
72,title_target_mean,1283,4
73,openAcc,1580,4
74,title_enc,1751,4
75,n6,3761,4
76,purpose,1746,4
77,postCode_enc,4944,4
78,regionCode_pred_1,149,4
79,n10,1377,4
80,employmentTitle_target_std,2109,4
81,verificationStatus,1148,4
82,pubRecBankruptcies_pubRec__rate,615,4
83,n0,1292,4
84,n8,2939,4
85,regionCode_target_std,250,4
86,employmentLength_enc,1449,4
87,initialListStatus,327,4
88,pubRec,795,4
89,earliesCreditLine_month,2013,4
90,pubRec_diff,361,4
91,issueDate_week_day,1340,4
